,Asian,Black,Latin,White,Other,Not High School,Estudios Superiores,Numer_below_pov,Percent_below_poverty,Naturales,Extrangeros,Nacionalizados,No Ciudadano,Menos_10k,15k-20k,20k-25k,25k-30k,30k-35k,35k-40k,45k-50k,50k-60k,60k-75k,75k-100k,100k-125k,125k-150k,150k-200k,Más_200k
11,2475.2727272727275,315.72727272727275,5712.727272727273,17778.363636363636,606.8181818181819,7.383432790533023,40.5,2184.0,8.1,16209.0,3719.0,3052.0,667.0,317.0,479.0,397.0,390.0,481.0,362.0,380.0,768.0,1115.0,1598.0,1439.0,708.0,962.0,694.0
12,2177.909090909091,162.0909090909091,2379.7272727272725,13718.90909090909,367.90909090909093,5.356763267909019,59.0,809.0,4.1,11382.0,7424.0,4981.0,2443.0,261.0,85.0,177.0,53.0,165.0,329.0,168.0,241.0,451.0,721.0,461.0,631.0,1282.0,1742.0
13,4779.090909090909,474.8181818181818,3346.0,9439.818181818182,565.5454545454545,13.025927650985873,46.4,2660.0,14.6,30753.0,18527.0,7420.0,11107.0,566.0,336.0,404.0,182.0,270.0,295.0,209.0,720.0,496.0,578.0,759.0,433.0,633.0,477.0
14,7590.545454545455,2250.909090909091,25291.81818181818,15655.454545454546,1494.6363636363637,19.250268400334008,40.2,6413.0,13.4,43086.0,20833.0,11767.0,9066.0,822.0,516.0,765.0,686.0,775.0,871.0,540.0,1200.0,1577.0,2512.0,1706.0,1094.0,1133.0,1357.0
15,3028.4545454545455,827.8181818181819,25790.636363636364,33246.90909090909,1494.4545454545455,12.917564954548485,34.6,4876.0,7.7,39475.0,14129.0,7221.0,6908.0,1159.0,609.0,1099.0,790.0,1077.0,791.0,469.0,1607.0,1860.0,3468.0,2448.0,1539.0,2226.0,1724.0
16,4357.0,1531.7272727272727,24550.363636363636,23323.0,1618.6363636363637,13.584347510185015,43.6,4611.0,8.7,29980.0,13607.0,8093.0,5514.0,729.0,725.0,729.0,1077.0,709.0,752.0,782.0,1785.0,2198.0,2780.0,1932.0,1373.0,1783.0,2157.0
17,1870.8181818181818,680.1818181818181,11186.727272727272,28837.909090909092,414.72727272727275,10.841551403635906,26.2,3060.0,7.0,9421.0,4961.0,2230.0,2731.0,717.0,574.0,673.0,307.0,543.0,831.0,490.0,1346.0,1455.0,2483.0,1880.0,1265.0,1337.0,932.0
18,524.4545454545455,481.27272727272725,7371.636363636364,4649.909090909091,227.72727272727272,20.954907161803714,16.3,1668.0,11.7,48325.0,30463.0,12006.0,18457.0,250.0,339.0,410.0,356.0,149.0,227.0,152.0,306.0,404.0,607.0,270.0,270.0,296.0,333.0
19,1406.2727272727273,2446.2727272727275,61937.72727272727,12152.818181818182,923.3636363636364,31.605407438196465,14.1,11807.0,15.1,14481.0,8682.0,3832.0,4850.0,1337.0,1166.0,1319.0,1330.0,1088.0,816.0,793.0,1861.0,2349.0,3395.0,1889.0,1343.0,1390.0,649.0
20,345.90909090909093,605.0909090909091,21304.363636363636,2162.181818181818,246.36363636363637,30.19237039452233,19.5,2949.0,12.7,26989.0,10371.0,4113.0,6258.0,430.0,269.0,320.0,349.0,586.0,379.0,348.0,551.0,802.0,826.0,580.0,388.0,378.0,327.0
21,1351.090909090909,837.0,23730.81818181818,12367.181818181818,980.5454545454545,15.670442226458825,40.8,4976.0,13.4,60909.0,11396.0,5452.0,5944.0,660.0,498.0,638.0,370.0,565.0,409.0,435.0,1061.0,1306.0,1822.0,1392.0,813.0,1544.0,1176.0
22,2205.909090909091,3758.5454545454545,34640.36363636364,32268.454545454544,1638.4545454545455,8.367985280588776,59.5,8505.0,11.8,44301.0,10100.0,3014.0,7086.0,1262.0,1039.0,1165.0,830.0,919.0,788.0,960.0,2171.0,2822.0,4041.0,3025.0,2521.0,3195.0,4502.0
23,278.45454545454544,21681.727272727272,30104.18181818182,3298.818181818182,766.4545454545455,24.873792640578948,18.4,14799.0,27.3,69390.0,10993.0,5846.0,5147.0,1888.0,1051.0,1433.0,1086.0,817.0,1129.0,813.0,1199.0,1530.0,1487.0,1338.0,651.0,560.0,499.0
24,3379.3636363636365,6294.0,23481.272727272728,48406.63636363636,2329.6363636363635,5.843662255867707,71.6,7166.0,9.0,88325.0,6748.0,2593.0,4155.0,1583.0,666.0,677.0,750.0,781.0,587.0,596.0,2161.0,3145.0,4196.0,3677.0,3516.0,5298.0,7523.0
25,471.3636363636364,81598.54545454546,11051.0,4654.181818181818,951.0,18.06914236869598,15.1,24608.0,26.2,16358.0,131.0,35.0,96.0,4881.0,2837.0,2080.0,2007.0,2084.0,1472.0,1354.0,2441.0,2462.0,2424.0,1668.0,1914.0,969.0,819.0
26,28.636363636363637,17376.81818181818,356.45454545454544,301.45454545454544,138.63636363636363,25.304994281357224,7.0,6015.0,36.9,17703.0,372.0,181.0,191.0,993.0,563.0,281.0,265.0,279.0,258.0,213.0,515.0,337.0,397.0,104.0,123.0,106.0,49.0
27,93.18181818181819,18269.272727272728,625.8181818181819,871.5454545454545,267.09090909090907,20.79225352112676,18.8,8009.0,45.3,51572.0,11244.0,4403.0,6841.0,1769.0,695.0,353.0,366.0,383.0,277.0,215.0,270.0,404.0,370.0,327.0,127.0,205.0,95.0
28,9337.181818181818,18135.81818181818,5703.090909090909,24071.81818181818,1492.6363636363637,6.133387611099804,69.6,11310.0,19.4,29883.0,1427.0,604.0,823.0,3163.0,1026.0,1030.0,712.0,888.0,420.0,427.0,1075.0,1951.0,3242.0,2904.0,2113.0,3953.0,4908.0
29,72.9090909090909,31527.363636363636,2577.909090909091,846.3636363636364,378.09090909090907,20.405378083299635,13.8,11206.0,36.2,44445.0,25790.0,8883.0,16907.0,2199.0,697.0,1037.0,520.0,812.0,361.0,559.0,710.0,735.0,1019.0,483.0,150.0,247.0,229.0
30,146.72727272727272,9071.636363636364,62504.90909090909,2912.090909090909,250.36363636363637,41.06151504297994,10.8,14466.0,24.0,22312.0,10360.0,4348.0,6012.0,1477.0,1282.0,1746.0,1999.0,1841.0,866.0,819.0,1315.0,1545.0,1615.0,707.0,742.0,446.0,168.0
31,693.7272727272727,1152.1818181818182,27690.636363636364,5113.272727272727,411.0,23.240491165019467,38.7,4570.0,14.0,28317.0,11010.0,3934.0,7076.0,762.0,448.0,620.0,581.0,700.0,773.0,378.0,993.0,1440.0,1793.0,1206.0,574.0,591.0,701.0
32,5538.090909090909,3471.5454545454545,2268.6363636363635,19706.727272727272,946.9090909090909,3.9707657672354726,82.4,3332.0,9.4,20141.0,6235.0,3270.0,2965.0,986.0,292.0,292.0,260.0,414.0,346.0,439.0,735.0,1438.0,2737.0,2900.0,1703.0,2589.0,4869.0
33,3995.7272727272725,5682.0,1170.4545454545455,10225.09090909091,641.8181818181819,4.802542778769539,77.5,1985.0,7.6,6260.0,7141.0,4503.0,2638.0,712.0,452.0,315.0,281.0,249.0,143.0,153.0,186.0,1321.0,1916.0,1893.0,1567.0,1933.0,3603.0
34,9599.363636363636,1439.3636363636363,534.4545454545455,1696.4545454545455,257.54545454545456,33.5770810377642,28.5,3785.0,28.2,16713.0,4737.0,991.0,3746.0,830.0,348.0,476.0,200.0,194.0,263.0,92.0,368.0,315.0,701.0,231.0,147.0,405.0,152.0
35,2595.909090909091,14836.90909090909,605.8181818181819,2214.6363636363635,479.1818181818182,11.0925423020681,43.1,6649.0,34.9,6376.0,597.0,429.0,168.0,2219.0,496.0,362.0,423.0,505.0,515.0,197.0,1117.0,783.0,758.0,602.0,319.0,302.0,334.0
36,94.9090909090909,5989.545454545455,222.36363636363637,154.63636363636363,47.54545454545455,8.129513160959702,37.1,1980.0,28.6,2049.0,100.0,51.0,49.0,612.0,250.0,184.0,107.0,67.0,117.0,227.0,282.0,123.0,244.0,140.0,120.0,180.0,101.0
37,2.272727272727273,2381.6363636363635,147.1818181818182,49.27272727272727,14.909090909090908,23.751686909581647,10.3,1040.0,48.4,22952.0,717.0,440.0,277.0,273.0,135.0,133.0,41.0,38.0,38.0,30.0,62.0,18.0,9.0,46.0,0.0,0.0,0.0
